title,seasons_count,episodes_count,ratings,vote_count,popularity,original_language,overview,genres,production_details,air_years,cast,keywords,imdb_id,networks,country_of_origin
Narcos,3,30,8.7,498000,4332.6,English,A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.,"Crime, Drama",Gaumont International Television,2015-2017,"Pedro Pascal: Javier Peña, Wagner Moura: Pablo Escobar, Boyd Holbrook: Steve Murphy, Alberto Ammann: Pacho Herrera, Paulina Gaitan: Tata Escobar, Juan Murcia: Juan Pablo Escobar, Jorge Monterrosa: Trujillo, Damián Alcázar: Gilberto Rodríguez Orejuela …, Francisco Denis: Miguel Rodríguez Orejuela …, Raúl Méndez: César Gaviria","cartel, drug, drug cartel, dea, dea agent, tell, drug lord, effort, true, journey, lord, capture, agent, season, centre, steve, capture dangerous, love family, look criminal, notorious, spread, true life, successor, point view, law enforcement, bloody, mission, associate, enforcement, plague, murphy, prove, fate, leader, part, season focus, infamous, brutal, obtain, dangerous, country, lot, exploit, authority, target, justice, history, recb3, conflict, center",tt2707408,Netflix,"United States, Colombia"
Dark,3,26,8.7,488000,4245.6,German,A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.,"Drama, Sci-Fi & Fantasy, Mystery",Wiedemann & Berg Television,2017-2020,"Louis Hofmann: Jonas Kahnwald, Karoline Eichhorn: Charlotte Doppler …, Lisa Vicari: Martha Nielsen, Maja Schöne: Hannah Kahnwald …, Jördis Triebel: Katharina Nielsen …, Andreas Pietschmann: The Stranger …, Stephan Kampwirth: Peter Doppler …, Paul Lux: Bartosz Tiedemann …, Oliver Masucci: Ulrich Nielsen …, Moritz Jahn: Magnus Nielsen …","dark, narrative, time, viewer, nature, jonas, time travel, town, family, network, enigmatic, travel, secret, generation, fate, theme, series, past, present, reveal, event, face, sin, nuanced, make mistake, dark secret, contemporary, disappearance, delf theme, little town, trauma, young boy, storytelling, boy name, cinematography, complexity, ancestor, series event, string, science fiction, era, mistake, phenomenon, take place, central, discovery, delf, embark, chain, fiction",tt5753856,Netflix,"Germany, United States"
House of the Dragon,1,10,8.3,472000,3917.6,English,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.","Sci-Fi & Fantasy, Drama, Action & Adventure","HBO, Bastard Sword, 1:26 Pictures, GRRM",2022-2022,"Matt Smith: Prince Daemon Targaryen …, Emma D'Arcy: Queen Rhaenyra Targaryen …, Olivia Cooke: Queen Alicent Hightower, Fabien Frankel: Ser Criston Cole, Steve Toussaint: Lord Corlys 'The Sea Snake' Velaryon …, Rhys Ifans: Ser Otto Hightower, Jefferson Hall: Ser Tyland Lannister …, Sonoya Mizuno: Mysaria 'The White Worm', Kurt Egyiawan: Grand Maester Orwyle …, Matthew Needham: Lord Larys 'The Clubfoot' Strong …","targaryen, visery, heir, throne, iron, height, king, year, house, name, daughter, power, westeros, absolute, power year, realm, bitter, ruler westeros, year future, series event, status, division, ruler, court, internal, dragon, surround, shock, sit, birth, century, empire, land, grantss, game, break, war, fall, future, case, begin, event, son, set, lead, father, targaryen targaryen, series",tt11198330,HBO,United States
Arrow,8,170,7.5,453000,3397.5,English,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","Crime, Drama, Mystery, Action & Adventure","Berlanti Productions, DC Entertainment, Warner Bros. Television",2012-2020,"Stephen Amell: Oliver Queen …, Katie Cassidy: Laurel Lance …, David Ramsey: John Diggle …, Susanna Thompson: Moira Queen, Emily Bett Rickards: Felicity Smoak …, Paul Blackthorne: Quentin Lance, Willa Holland: Thea Queen …, Colton Haynes: Roy Harper …, Rick Gonzalez: Rene Ramirez …, Echo Kellum: Curtis Holt …","devoted, lance, island, city, mother, arrow, billionaire, wealthy, discover alive, presume dead, restore, right wrong, reconnect, carefree, ruthless, glory, determined, operate, presume, tommy, darkness, imagine, main, identity, vigilante, alive, violent, truth, girlfriend, deadly, sense, action, role, let, society, wrong, queen, cover, good friend, right, john, miss, close, arrest, sister, detective, hide, seek, return, dead",tt2193021,The CW,United States
The Simpsons,35,762,8.6,452000,3887.2,English,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.","Family, Animation, Comedy","Gracie Films, 20th Century Fox Television, 20th Television Animation, 20th Television",1989-2023,"Dan Castellaneta: Homer Simpson …, Nancy Cartwright: Bart Simpson …, Julie Kavner: Marge Simpson …, Harry Shearer: Ned Flanders …, Yeardley Smith: Lisa Simpson …, Hank Azaria: Moe Szyslak …, Pamela Hayden: Milhouse Van Houten …, Tress MacNeille: Agnes Skinner …, Chris Edgerly: Additional Voices …, Maggie Roswell: Helen Lovejoy …","lisa, maggie, family, bit, sign, see, bear, aggressive, member, love, age, time, show, house, child, daughter, play, plant, portray, vegetarian, wacky, love family, nuclear power, power plant, tendency, tend, supervisor, prank, sleep, bear child, guitar, job house, consist, lazy, dysfunctional family, member family, safety, smart, mad, nuclear, general, year, weapon, food, kick, feel, round, middle, baby, hang",tt0096697,FOX,United States
Fargo,5,51,8.8,443000,3898.4,English,"A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.","Crime, Drama","26 Keys Productions, The Littlefield Company, Mike Zoss Productions, MGM Television, FX Productions",2014-2020,"Billy Bob Thornton: Lorne Malvo …, Martin Freeman: Lester Nygaard …, Allison Tolman: Molly Solverson, Colin Hanks: Gus Grimly, Jason Schwartzman: Josto Fadda …, Russell Harvard: Mr. Wrench, Bokeem Woodbine: Mike Milligan, Brad Mann: Gale Kitchen, Kirsten Dunst: Peggy Blumquist, Ewan McGregor: Emmit Stussy …","crime, clan, mike, true, lead, business, big, small, town, new, case, son, hank, new chapter, joke, korean, eld son, bark, drunk, city crime, chapter, enforcer, case involve, cruel, con artist, detective mike, con, husband death, large man, artist, streak, take family, smile, dog bark, family business, lou, vet, matriarch, man, young, family, shot, network, investigate case, weather, mob, frozen, frustrate, crew, northern",tt2802850,FX,United States
Loki,2,12,8.2,441000,3616.2,English,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.","Drama, Sci-Fi & Fantasy",Marvel Studios; marvel cinematic universe,2021-2021,"Tom Hiddleston: Loki, Owen Wilson: Mobius …, Sophia Di Martino: Sylvie …, Wunmi Mosaku: Hunter B-15 …, Gugu Mbatha-Raw: Ravonna Renslayer …, Eugene Cordero: Casey …, Neil Ellice: Hunter D-90, Tara Strong: Miss Minutes, Ke Huy Quan: OB …, Lauren Revard: Miss Minutes On-Set Reader …","sacred, timeline, avenger, endgame, avenger endgame, time, resume, wrestle, unleash, event avenger, alternate, force, mischief, travel time, take place, eliminate, assist, version, god, villain, identity, decision, eye, haider, malik, malik haider, universe, authority, role, issue, free, keep, decide, capture, use, escape, destroy, different, travel, search, place, secret, group, event, discover, go, take, way, new, series",tt9140554,Disney+,United States
Mr. Robot,4,45,8.5,439000,3731.5,English,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.","Crime, Drama","Anonymous Content, UCP, Esmail Corp",2015-2019,"Rami Malek: Elliot Alderson, Christian Slater: Mr. Robot, Carly Chaikin: Darlene, Martin Wallström: Tyrell Wellick, Portia Doubleday: Angela Moss, Michael Cristofer: Phillip Price, Grace Gummer: Dominique DiPierro, BD Wong: Whiterose, Stephanie Corneliussen: Joanna Wellick, Vaishnavi Sharma: Elliot's Mother","hard, promise, fail, evil, help, close, appear, real, criminal, struggle, wife, leave, upbringing, hack, promote, life intertwine, responsible death, chemical, tendency, desperation, imprison, express, determined, debt, addiction, unusual, extent, relative, particular, purpose, psychopath, internal, surround, determine, important, fact, emotion, giant, ambitious, remember, intertwine, corporation, personal life, common, carry, responsible, desperate, employee, challenge, question",tt4158110,USA Network,United States
The Lord of the Rings: The Rings of Power,1,8,6.9,424000,2925.6,English,"Beginning in a time of relative peace, we follow an ensemble cast of characters as they confront the re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of Lindon, to the breathtaking island kingdom of Númenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone.","Action & Adventure, Sci-Fi & Fantasy, Drama","Amazon Studios, New Line Cinema; the lord of the rings franchise",2022-2022,"Morfydd Clark: Galadriel, Charlie Vickers: Sauron …, Charles Edwards: Lord Celebrimbor, Ismael Cruz Cordova: Arondir, Robert Aramayo: Elrond, Robert Strange: Glûg …, Markella Kavenagh: Nori Brandyfoot, Daniel Weyman: The Stranger, Megan Richards: Poppy Proudfellow, Cynthia Addai-Robinson: Queen Regent Míriel …","kingdom, thousand, familiar, emergence, ensemble, epic, fear, ring, middle, cast, evil, earth, drama, confront, lord, great, event, set, breathtake, map, time relative, peace, forge, glory, relative, legacy, studio, capital, depth, era, darkness, mountain, island, follow, year, forest, villain, fine, hang, unlikely, new, reach, ruin, test, series follow, cover, hero, hope, viewer, rise",tt7631058,Prime Video,"United States, New Zealand, Canada"
South Park,26,321,8.7,421000,3662.7,English,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Animation, Comedy","South Park Studios, Comedy Central, Parker-Stone Productions, MTV Entertainment Studios",1997-2023,"Trey Parker: Stan Marsh …, Matt Stone: Kyle Broflovski …, Isaac Hayes: Chef, Mona Marshall: Sheila Broflovski …, April Stewart: Sharon Marsh …, Adrien Beard: Token Black …, Eliza Schneider: Liane Cartman …, Jennifer Howell: Bebe Stevens …, Jessica Makinson: Heidi Turner …, Mary Kay Bergman: Liane Cartman …","crazy, boy, win series, towel, homosexuality, pig, quiet, stan, adult animate, eric, people, follow exploit, education, emmy, animate, mountain, south, engineer, medium, park, exploit, challenge, evil, grow, adult, bear, explore, parent, episode, town, win, fight, death, include, face, friend, force, man, follow, series",tt0121955,Comedy Central,United States
Wednesday,2,8,8.0,411000,3288.0,English,"Wednesday Addams is sent to Nevermore Academy, a bizarre boarding school where she attempts to master her psychic powers, stop a monstrous killing spree of the town citizens, and solve the supernatural mystery that affected her family 25 years ago — all while navigating her new relationships.","Sci-Fi & Fantasy, Mystery, Comedy","MGM Television, Millar Gough Ink, Toluca Pictures",2022-2022,"Jenna Ortega: Wednesday Addams …, Hunter Doohan: Tyler Galpin, Emma Myers: Enid Sinclair, Joy Sunday: Bianca Barclay, Georgie Farmer: Ajax Petropolus, Victor Dorobantu: Thing, Moosa Mostafa: Eugene Ottinger, Luyanda Unati Lewis-Nyawo: Sheriff Deputy Ritchie Santiago …, Isaac Ordonez: Pugsley Addams, Luis Guzmán: Gomez Addams","outcast, school, mystery, parent, spree, psychic, emerge, academy, year, kill, master, student, solve, attempt, ability, monster kill, expel, killing spree, supernatural, old school, kill people, solve mystery, fit, killing, wit, classmate, navigate, monster, local, appear, send, grantss, town, relationship, old, end, people, follow, new",tt13443470,Netflix,United States
Avatar: The Last Airbender,3,61,9.3,404000,3757.2,English,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Animation, Action & Adventure, Sci-Fi & Fantasy","Nickelodeon Animation Studio, JM Animation, DR Movie, Moi Animation",2005-2008,"Dee Bradley Baker: Appa …, Zach Tyler Eisen: Aang …, Mae Whitman: Katara …, Jack De Sena: Sokka …, Dante Basco: Prince Zuko …, Michaela Jill Murphy: Toph …, Mako: Uncle …, Grey Griffin: Azula …, André Sogliuzzo: Hakoda …, Cricket Leigh: Mai","nation, fire, tribe, avatar, lord, capital, water, pursue, air, prodigy, war, season, northern, attack, earth, sister, capture, learn, travel, group, power, kill, end, southern, respect, restore, retreat, responsibility, strip, upcoming, invade, crown, coup, afraid, enhance, honor, power year, prince, wrestle, refugee, liberate, force, young, fugitive, ruler, second season, spirit, favor, accompany, current",tt0417299,Nickelodeon,"United States, South Korea"
